Продукты	Несъедобная часть %	Белки г	Жиры г	Усвояемые углеводы г	Минеральные вещества, мг						Витамины, мг						Энерго-ценность, ккал
					Натрий	Калий	Кальций	Магний	Фосфор	Железо	Каротин	А	В1	В2	РР	С	
**МУКА,КРУПЫ,МАКАРОНЫ,БОБОВЫЕ**																	
Килька балтийская (пресервы)	50	15,1	8,9	---	---	300	266	45	248	---	---	---	---	---	---	---	141
Горбуша натуральная (консервы)	0	20,9	5,8	---	---	260	185	56	230	0,9	---	Сл.	0,03	0,14	2,8	---	136
Печень трески (консервы)	0	4,2	65,7	1,2	---	110	35	50	230	1,9	---	4,4	0,05	0,41	1,8	---	613
Сардины атлантические в масле (консервы)	0	17,9	19,7	---	---	---	---	---	---	---	---	---	0,02	0,1	4,3	---	249
Сайра в масле (консервы)	0	18,3	23,3	---	---	---	---	---	---	---	---	---	0,03	0,22	2,8	---	283
Ставрида в масле (консервы)	0	15,6	27,4	---	---	---	---	---	---	4,3	---	Сл.	0,04	0,12	2,9	---	309
Шпроты в масле (консервы)	0	17,4	32,4	0,4	635	350	300	55	350	4,6	---	0,14	0,03	0,1	1	---	363
**ЯЙЦА**																	
Яйца куриные	13	12,5	11,5	0,7	134	140	55	12	192	2,5	---	0,25	0,07	0,44	0,19	---	157
Яйца перепелиные	8	11,9	13,1	0,6	115	144	54	32	218	3,2	---	0,47	0,11	0,65	0,26	---	168
Меланж	0	12,7	11,5	0,7	134	140	55	12	192	2,5	---	0,25	0,07	0,44	0,19	---	157
Яичный порошок	0	46	37,3	4,5	436	448	193	42	725	8,9	---	0,9	0,25	1,64	1,18	---	542
**ЖИРЫ**																	
Масло подсолнечное, кукурузное, хлопковое, рафинированное	0	0	99,9	0	0	0	0	0	0	0	0	0	0	0	0	0	899
Масло сливочное несоленое	0	0,5	82,5	0,8	7	15	12	0,4	19	0,2	0,38	0,59	Сл.	0,1	0,05	Сл.	748
Масло сливочное любительское	0	0,7	78,9	1	10	23	18	0,4	26	0,1	0,33	0,45	Сл.	0,11	0,05	0	709
Масло сливочное крестьянское	0	0,8	72,5	1,3	15	30	24	0,5	30	0,2	0,3	0,4	0,01	0,01	0,12	0	661
Масло сливочное бутербродное	0	2,5	61,5	1,7	16	25	34	1,5	45	0,3	0,28	0,4	0,01	0,13	Сл.	Сл.	556
Масло коровье топленое	0	0,3	98	0,6	---	---	---	---	---	---	---	0,6	---	---	---	---	887
Жир свиной топленый	0	0	99,7	0	1	1	0,5	0,8	2	0,05	0	0,01	---	---	---	---	897
Маргарин сливочный	0	0,3	82,9	1	154	15	14	2	9	Сл.	Сл.	0,02	Сл.	0,02	0,02	Сл.	743
Жиры кулинарные	0	0	99,7	0	0	0	0	0	0	0	0	Сл.	0	0	0	0	897
Майонез "Провансаль"	0	2,8	67	2,6	508	38	33	13	50	Сл.	0,4	Сл.	0,01	0,08	0,03	Сл.	627
**ФРУКТЫ,ЯГОДЫ,ВАРЕНЬЕ**																	
Арбуз	40	0,7	0,2	8,8	16	64	14	24	7	1	0,1	0	0,4	0,03	0,24	7	38
Дыня	36	0,6	---	9,1	32	118	16	13	12	1	0,4	0	0,4	0,04	0,4	20	38
Тыква	30	1	0,1	4,2	4	204	25	14	25	0,4	0,5	0	0,05	0,06	0,5	8	25
Абрикосы	14	0,9	0,1	9	3	305	28	8	26	0,7	1,6	0	0,03	0,06	0,7	10	41
Айва	28	0,6	0,5	7,9	14	144	23	14	24	3	0,4	0	0,02	0,04	0,1	23	40
Алыча	13	0,2	---	6,4	17	188	27	21	25	1,9	0,16	0	0,02	0,03	0,5	13	27
Апельсин	30	0,9	0,2	8,1	13	197	34	13	23	0,3	0,05	0	0,04	0,03	0,2	60	40
Вишня	15	0,8	0,5	10,3	20	256	37	26	30	0,5	0,1	0	0,03	0,03	0,4	15	52
Гранат	40	0,9	---	11,2	3	150	10	2	---	1	Сл.	0	0,04	0,01	0,4	4	52
Грейпфрут	35	0,9	0,2	6,5	13	184	23	10	18	0,5	0,02	0	0,05	0,03	0,23	45	35
Груша	10	0,4	0,3	9,5	14	155	19	12	16	2,3	0,01	0	0,02	0,03	0,1	5	42
Инжир	2	0,7	0,2	11,2	18	190	---	---	---	3,2	0,05	0	0,06	0,05	0,5	2	49
Лимон	40	0,9	0,1	3	11	163	40	12	22	0,6	0,01	0	0,04	0,02	0,1	40	33
Мандарин	26	0,8	0,3	8,1	12	155	35	11	17	0,1	0,06	0	0,06	0,03	0,2	38	40
Персик	20	0,9	0,1	9,5	30	363	20	16	34	0,6	0,5	0	0,04	0,08	0,7	10	43
Рябина черноплодная	10	1,5	0,1	10,9	---	---	---	---	---	---	1,2	0	0,01	0,02	0,3	15	52
Слива садовая	10	0,08	---	9,6	18	214	20	9	20	0,5	0,1	0	0,06	0,04	0,6	10	43
Хурма	15	0,5	---	13,3	15	200	127	56	42	2,5	1,2	0	0,02	0,03	0,2	15	53
Черешня	15	1,1	0,4	10,6	13	233	33	24	28	1,8	0,15	0	0,01	0,01	0,4	15	50
Шелковица (плоды)	5	0,7	---	12	16	350	24	51	---	---	0,02	0	0,04	0,02	0,8	10	52
Яблоки	12	0,4	0,4	9,8	26	278	16	19	11	2,2	0,03	0	0,03	0,02	0,3	13	45
Брусника	5	0,7	0,5	8	7	73	40	7	16	0,4	0,05	0	0,01	0,02	0,2	15	43
Виноград	13	0,6	0,2	15	26	255	45	17	22	0,6	Сл.	0	0,05	0,02	0,3	6	65
Клубника	10	0,8	0,4	6,3	18	161	40	18	23	1,2	0,03	0	0,03	0,05	0,3	60	34
Клюква	2	0,5	---	3,8	12	119	14	8	11	0,6	Сл.	0	0,02	0,02	0,15	15	26
Крыжовник	5	0,7	0,2	9,1	23	260	22	9	28	0,8	0,2	0	0,01	0,02	0,25	30	43
Малина	12	0,8	0,3	8,3	10	224	40	22	37	1,2	0,2	0	0,02	0,05	0,6	25	42
Облепиха	40	0,9	2,5	5	4	105	42	30	9	0,4	1,5	0	0,03	0,05	0,36	200	52
Смородина красная	8	0,6	0,2	7,3	21	275	36	17	33	0,9	0,2	0	0,01	0,03	0,2	25	39
Смородина белая	8	0,3	---	8	19	270	36	9	23	0,5	0,04	0	0,01	0,02	0,3	40	38
Смородина черная	3	1	0,2	7,3	32	350	36	31	33	1,3	0,1	0	0,03	0,04	0,3	200	38
Черника	2	1,1	0,6	8	6	51	16	6	13	7	Сл.	0	0,01	0,02	0,3	10	44
Шиповник свежий	10	1,6	---	10	5	23	28	8	8	11	2,6	0	0,05	0,33	0,6	650	51
Шиповник сухой	---	3,4	---	21,5	11	50	60	17	17	25	4,9	0	0,07	0,65	1,2	1100	110
Изюм	---	1,8	0	66	117	860	80	42	129	3	Сл.	0	0,15	0,08	0,5	Сл.	262
Курага	---	5,2	0	55	17	1717	160	105	146	3,2	3,5	0	0,1	0,2	3	4	234
Чернослив	---	2,3	0	58,4	10	864	80	102	83	3	0,06	0	0,02	0,1	1,5	3	242
Сок абрикосовый	0	0,5	0	13,7	2	245	20	10	18	0,2	1,3	0	0,2	0,04	0,23	4	56
Сок виноградный	0	0,3	0	13,8	16	150	20	9	12	0,4	Сл.	0	0,02	0,01	0,1	2	54
Сок гранатовый	0	0,3	0	14,5	4	102	12	5	8	1	0	0	0,04	0,01	0,3	4	64
Сок мандариновый	0	0,8	0	9	17	143	21	4	16	0,1	0,03	0	0,04	0,02	0,1	25	43
Сок сливовый	0	0,3	0	16,1	2	120	10	7	18	0,6	0,15	0	0,01	0,01	0,29	4	66
Сок яблочный	0	0,5	0	9,1	6	120	7	4	7	0,3	Сл.	0	0,01	0,01	0,1	2	38
Компот из вишни	---	0,6	0	24,3	10	108	10	8	17	0,4	0,1	0	0,02	0,02	0,2	2	99
Компот из яблок	---	0,2	0	22,1	1	45	10	5	6	0,2	Сл.	0	0,01	0,02	0,2	1,8	85
Компот из слив	---	0,5	0	23,9	1	118	10	8	14	0,4	Сл.	0	0,02	0,02	0,3	2	96
Варенье из клубники	---	0,3	0	70,9	13	135	10	7	10	0,9	0,02	0	0,01	0,05	0,4	8,4	271
Варенье из сливы	---	0,4	0	73,2	1	107	15	9	14	0,5	0,05	0	0,01	0,01	0,3	3	281
Повидло яблочное	---	0,4	0	65,3	1	129	14	7	9	1,3	Сл.	0	0,01	0,02	---	0,5	250
Джем из абрикосов	0	0,5	0	68,8	1	152	12	9	18	1	0,3	0	0,01	0,02	0,17	2,4	265
**ОВОЩИ,ГРИБЫ**																	
Баклажаны	10	1,2	0,1	5,1	6	238	15	9	34	0,4	0,02	0	0,04	0,05	0,6	5	24
Горошек зеленый	---	5	0,2	12,8	2	285	26	38	122	0,7	0,4	0	0,34	0,19	2	25	73
Кабачки	25	0,6	0,3	4,9	2	238	15	9	12	0,4	0,03	0	0,03	0,03	0,6	15	23
Капуста белокочанная	20	1,8	0,1	4,7	13	185	48	16	31	0,6	0,02	0	0,03	0,04	0,74	45	27
Капуста квашеная	---	1,8	---	2,2	930	185	48	16	31	0,6	Сл.	0	0,02	0,02	0,4	30	19
Капуста цветная	25	2,5	0,3	4,5	10	210	26	17	51	1,4	0,02	0	0,1	0,1	0,6	70	30
Картофель	28	2	0,4	16,3	28	568	10	23	58	0,9	0,02	0	0,12	0,07	1,3	20	80
Лук зеленый (перо)	20	1,3	---	3,5	10	259	100	18	26	1	2	0	0,02	0,1	0,3	30	19
Лук репчатый	16	1,4	---	9,1	18	175	31	14	58	0,8	Сл.	0	0,05	0,02	0,2	10	41
Морковь красная	20	1,3	0,1	7,2	21	200	51	38	55	0,7	9	0	0,06	0,07	1	5	30
Огурцы парниковые	7	0,7	0,1	1,9	7	196	17	14	30	0,5	0,02	0	0,03	0,02	0,15	7	11
Огурцы грунтовые	7	0,8	0,1	2,6	8	141	23	14	42	0,6	0,06	0	0,03	0,04	0,2	10	14
